,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
0,00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2022,1,REG,18,27,212.0,1,1.0,2.0,17.0,0,0,305.0,87.0,9.0,1.0508536100387573,0,0.6950819492340088,0.0756322592496872,2,-1.0,0,0.0,0.0,0.0,-1.4371675252914429,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,10.380000114440918,10.380000114440918
1,00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2022,2,REG,18,34,190.0,1,0.0,1.0,2.0,0,0,318.0,81.0,8.0,2.4287068843841553,0,0.597484290599823,-0.020727388560771942,3,-2.0,0,1.0,1.0,0.0,-7.1154069900512695,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,9.399999618530273,9.399999618530273
2,00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2022,3,REG,31,42,271.0,1,0.0,3.0,20.0,0,0,236.0,124.0,15.0,1.076749324798584,0,1.148305058479309,0.08596274256706238,1,-1.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,14.739999771118164,14.739999771118164
3,00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2022,4,REG,39,52,385.0,3,0.0,1.0,12.0,1,1,326.0,205.0,23.0,9.511334419250488,0,1.1809816360473633,0.15367448329925537,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,25.399999618530273,25.399999618530273
4,00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2022,5,REG,35,52,351.0,1,0.0,0.0,-0.0,0,0,356.0,178.0,17.0,12.98958969116211,1,0.9859550595283508,0.1602373868227005,3,-3.0,0,0.0,0.0,0.0,-3.336036443710327,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,19.739999771118164,19.739999771118164
